id,name,price
1090,"SAMSUNG GALAXY A5 (2017) Black","54,990.0"
1091,"PLAYSTATION 3 BLACK 12 GB","29,990.0"
1092,"SAMSUNG GALAXY A5 (2017) Gold","54,990.0"
1093,"SAMSUNG GALAXY A5 (2017) Black","54,990.0"
1094,"SAMSUNG GALAXY A5 (2017) Peach","54,990.0"
1095,"SAMSUNG GALAXY A3 (2017) Blue","39,990.0"
1096,"SAMSUNG GALAXY A3 (2017) Gold","39,990.0"
1097,"SAMSUNG GALAXY A3 (2017) Black","39,990.0"
1098,"SAMSUNG GALAXY A3 (2017) Peach","39,990.0"
1099,"HUAWEI HONOR 8 Lite Gold","34,990.0"
1100,"HUAWEI HONOR 8 Lite Black","34,990.0"
1101,"HUAWEI HONOR 8 Lite White","34,990.0"
1102,"HUAWEI HONOR 8 Lite Blue","34,990.0"
1103,"HUAWEI P10 Lite Black","38,990.0"
1104,"HUAWEI P10 Lite Blue","38,990.0"
1105,"HUAWEI P10 Silver","72,990.0"
1106,"HUAWEI P9 BLUE","64,990.0"
1107,"HUAWEI Y6 II COMPACT Black","18,990.0"
1108,"SAMSUNG GALAXY S8+ Black","114,990.0"
1109,"CANTE TABLET PLATINET 7""-7 85""","1,790.0"
1110,"SAMSUNG GALAXY S8 Black","99,990.0"
1111,"HUB S-LINK 4PORT USB 2.0",750.0
1112,"LP HP 250 G5 W4M66EA","35,990.0"
1113,"SAMSUNG GALAXY J5 (2017) Blue","34,990.0"
1114,"SAMSUNG GALAXY A5 (2017) Black","54,990.0"
1115,"PLAYSTATION 3 BLACK 12 GB","29,990.0"
1116,"iPhone 7 Plus 128GB - Gold","129,990.0"
1117,"iPhone 7 Plus 128GB -Rose Gold","129,990.0"
1118,"iPhone 7 Plus 128GB -Jet Black","129,990.0"
1119,"iPhone 7 Plus 256GB - Black","144,990.0"
1120,"iPhone 7 Plus 256GB - Silver","144,990.0"
1121,"iPhone 7 Plus 256GB - Gold","144,990.0"
1122,"iPhone 7 Plus 256GB -Rose Gold","144,990.0"
1123,"iPhone 7 Plus 256GB -Jet Black","144,990.0"
1124,"iPhone 6s 32GB - Space Gray","89,990.0"
